environment,image_id,plotNumber,genotype,score_A,score_B,human_score,comment_A,comment_B
Nebraska2025,1207_LeafPhotoA_2025-09-08 09_33_35.033,1207,PI533855,1.0,,1.0,,
Nebraska2025,1207_LeafPhotoA_2025-09-08 09_34_30.630,1207,PI533855,2.5,,2.5,,
Nebraska2025,1207_LeafPhotoA_2025-09-08 09_35_06.843,1207,PI533855,2.0,,2.0,,
Nebraska2025,1209_LeafPhotoA_2025-09-08 09_36_46.496,1209,PI595736,1.0,1.0,1.0,,
Nebraska2025,1209_LeafPhotoA_2025-09-08 09_37_14.965,1209,PI595736,1.0,1.5,1.25,,
Nebraska2025,1209_LeafPhotoA_2025-09-08 09_37_46.150,1209,PI595736,2.0,,2.0,,
Nebraska2025,1210_LeafPhotoA_2025-09-08 09_38_24.164,1210,PI533878,1.5,1.0,1.25,,
Nebraska2025,1210_LeafPhotoA_2025-09-08 09_39_04.129,1210,PI533878,1.0,1.5,1.25,,
Nebraska2025,1210_LeafPhotoA_2025-09-08 09_39_32.955,1210,PI533878,2.5,,2.5,,
Nebraska2025,1211_LeafPhotoA_2025-09-08 09_40_17.651,1211,PI533890,2.0,3.0,2.5,,
Nebraska2025,1211_LeafPhotoA_2025-09-08 09_40_41.006,1211,PI533890,2.0,1.5,1.75,,
Nebraska2025,1211_LeafPhotoA_2025-09-08 09_41_08.074,1211,PI533890,2.5,,2.5,,
Nebraska2025,1212_LeafPhotoA_2025-09-08 09_42_02.733,1212,PI534083,3.0,,3.0,,
Nebraska2025,1212_LeafPhotoA_2025-09-08 09_42_24.685,1212,PI534083,2.5,,2.5,,
Nebraska2025,1212_LeafPhotoA_2025-09-08 09_42_54.332,1212,PI534083,2.0,2.5,2.25,,
Nebraska2025,1213_LeafPhotoA_2025-09-08 09_43_59.948,1213,PI533800,2.0,,2.0,,
Nebraska2025,1213_LeafPhotoA_2025-09-08 09_44_31.820,1213,PI533800,2.5,,2.5,,
Nebraska2025,1213_LeafPhotoA_2025-09-08 09_45_05.304,1213,PI533800,1.0,,1.0,,
Nebraska2025,1214_LeafPhotoA_2025-09-08 09_46_06.613,1214,PI533763,2.5,,2.5,,
Nebraska2025,1214_LeafPhotoA_2025-09-08 09_46_46.292,1214,PI533763,2.5,,2.5,,
Nebraska2025,1214_LeafPhotoA_2025-09-08 09_47_10.824,1214,PI533763,1.5,1.5,1.5,,
Nebraska2025,1215_LeafPhotoA_2025-09-08 09_48_15.511,1215,PI534118,2.5,,2.5,,
Nebraska2025,1215_LeafPhotoA_2025-09-08 09_49_06.447,1215,PI534118,2.5,,2.5,,
Nebraska2025,1215_LeafPhotoA_2025-09-08 09_50_40.556,1215,PI534118,2.5,,2.5,,
Nebraska2025,1216_LeafPhotoA_2025-09-08 09_51_18.258,1216,PI595714,1.5,1.5,1.5,,
Nebraska2025,1216_LeafPhotoA_2025-09-08 09_51_38.597,1216,PI595714,2.0,2.0,2.0,,
Nebraska2025,1216_LeafPhotoA_2025-09-08 09_52_09.164,1216,PI595714,2.5,,2.5,,
Nebraska2025,1217_LeafPhotoA_2025-09-08 09_52_51.663,1217,PI655974,1.0,,1.0,,
Nebraska2025,1217_LeafPhotoA_2025-09-08 09_53_36.339,1217,PI655974,1.5,1.5,1.5,,
Nebraska2025,1217_LeafPhotoA_2025-09-08 09_54_02.015,1217,PI655974,2.0,,2.0,,
Nebraska2025,1218_LeafPhotoA_2025-09-08 09_55_19.524,1218,PI533931,2.0,,2.0,,
Nebraska2025,1218_LeafPhotoA_2025-09-08 09_55_48.140,1218,PI533931,3.5,3.5,3.5,,
Nebraska2025,1218_LeafPhotoA_2025-09-08 09_56_20.034,1218,PI533931,2.0,,2.0,,
Nebraska2025,1219_LeafPhotoA_2025-09-08 09_57_12.021,1219,PI533822,3.0,,3.0,,
Nebraska2025,1219_LeafPhotoA_2025-09-08 09_57_23.701,1219,PI533822,2.5,,2.5,,
Nebraska2025,1219_LeafPhotoA_2025-09-08 09_57_43.225,1219,PI533822,3.0,,3.0,,
Nebraska2025,1220_LeafPhotoA_2025-09-08 09_58_33.442,1220,PI534060,2.5,,2.5,,
Nebraska2025,1220_LeafPhotoA_2025-09-08 09_59_06.171,1220,PI534060,1.5,1.0,1.25,,
Nebraska2025,1220_LeafPhotoA_2025-09-08 09_59_32.289,1220,PI534060,2.0,2.5,2.25,,
Nebraska2025,1221_LeafPhotoA_2025-09-08 10_00_11.226,1221,PI533839,2.5,,2.5,,
Nebraska2025,1221_LeafPhotoA_2025-09-08 10_00_47.447,1221,PI533839,2.5,,2.5,,
Nebraska2025,1221_LeafPhotoA_2025-09-08 10_01_01.790,1221,PI533839,2.5,,2.5,,
Nebraska2025,1222_LeafPhotoA_2025-09-08 10_01_43.423,1222,PI533789,2.5,,2.5,,
Nebraska2025,1222_LeafPhotoA_2025-09-08 10_02_04.448,1222,PI533789,2.5,,2.5,,
Nebraska2025,1222_LeafPhotoA_2025-09-08 10_02_22.746,1222,PI533789,3.0,,3.0,,
Nebraska2025,1223_LeafPhotoA_2025-09-08 10_02_54.221,1223,PI655983,2.5,,2.5,,
Nebraska2025,1223_LeafPhotoA_2025-09-08 10_03_13.455,1223,PI655983,1.5,1.5,1.5,,
Nebraska2025,1223_LeafPhotoA_2025-09-08 10_03_37.290,1223,PI655983,1.5,,1.5,,
Nebraska2025,1224_LeafPhotoA_2025-09-08 10_04_30.822,1224,,1.0,,1.0,,
Nebraska2025,1224_LeafPhotoA_2025-09-08 10_04_48.677,1224,,1.5,,1.5,,
Nebraska2025,1224_LeafPhotoA_2025-09-08 10_05_08.517,1224,,1.5,,1.5,,
Nebraska2025,1225_LeafPhotoA_2025-09-08 10_05_53.630,1225,SC0965,3.5,,3.5,,
Nebraska2025,1225_LeafPhotoA_2025-09-08 10_06_05.269,1225,SC0965,3.0,,3.0,Elongated lesions are usually caused by Exserohilum turcicum,
Nebraska2025,1226_LeafPhotoA_2025-09-08 10_07_41.534,1226,,2.0,,2.0,,
Nebraska2025,1226_LeafPhotoA_2025-09-08 10_07_58.660,1226,,2.0,,2.0,,
Nebraska2025,1226_LeafPhotoA_2025-09-08 10_08_53.325,1226,,2.0,,2.0,,
Nebraska2025,1227_LeafPhotoA_2025-09-08 10_09_23.405,1227,PI595710,2.0,2.5,2.25,,
Nebraska2025,1227_LeafPhotoA_2025-09-08 10_09_53.429,1227,PI595710,3.0,,3.0,,
Nebraska2025,1227_LeafPhotoA_2025-09-08 10_10_08.331,1227,PI595710,3.0,,3.0,,
Nebraska2025,1228_LeafPhotoA_2025-09-08 10_10_42.828,1228,PI576351,2.0,,2.0,,
Nebraska2025,1228_LeafPhotoA_2025-09-08 10_11_20.554,1228,PI576351,2.0,,2.0,,
Nebraska2025,1228_LeafPhotoA_2025-09-08 10_11_36.583,1228,PI576351,2.5,,2.5,,
Nebraska2025,1229_LeafPhotoA_2025-09-08 10_12_28.613,1229,PI656077,2.0,,2.0,,
Nebraska2025,1229_LeafPhotoA_2025-09-08 10_12_40.415,1229,PI656077,2.0,,2.0,,
Nebraska2025,1229_LeafPhotoA_2025-09-08 10_13_02.494,1229,PI656077,2.5,,2.5,,
Nebraska2025,1230_LeafPhotoA_2025-09-08 10_14_02.865,1230,PI656010,1.5,1.5,1.5,,
Nebraska2025,1230_LeafPhotoA_2025-09-08 10_14_16.314,1230,PI656010,3.0,,3.0,,
Nebraska2025,1230_LeafPhotoA_2025-09-08 10_14_37.037,1230,PI656010,2.0,,2.0,,
Nebraska2025,1231_LeafPhotoA_2025-09-08 10_15_16.896,1231,PI533843,2.0,,2.0,,
Nebraska2025,1231_LeafPhotoA_2025-09-08 10_16_02.846,1231,PI533843,2.5,,2.5,,
Nebraska2025,1231_LeafPhotoA_2025-09-08 10_16_21.866,1231,PI533843,2.5,,2.5,,
Nebraska2025,1232_LeafPhotoA_2025-09-08 10_16_48.705,1232,PI533872,1.5,,1.5,,
Nebraska2025,1232_LeafPhotoA_2025-09-08 10_17_07.215,1232,PI533872,2.0,,2.0,,
Nebraska2025,1232_LeafPhotoA_2025-09-08 10_17_24.001,1232,PI533872,2.0,,2.0,,
Nebraska2025,1233_LeafPhotoA_2025-09-08 10_18_11.748,1233,PI576410,1.0,1.0,1.0,,
Nebraska2025,1233_LeafPhotoA_2025-09-08 10_18_40.717,1233,PI576410,1.5,,1.5,,
Nebraska2025,1233_LeafPhotoA_2025-09-08 10_18_57.547,1233,PI576410,3.0,,3.0,,
Nebraska2025,1234_LeafPhotoA_2025-09-08 10_19_27.121,1234,SC0921,1.5,1.5,1.5,,
Nebraska2025,1234_LeafPhotoA_2025-09-08 10_19_53.934,1234,SC0921,3.0,,3.0,,
Nebraska2025,1234_LeafPhotoA_2025-09-08 10_20_18.045,1234,SC0921,2.0,1.5,1.75,,
Nebraska2025,1235_LeafPhotoA_2025-09-08 10_20_51.257,1235,PI533932,2.5,,2.5,,
Nebraska2025,1235_LeafPhotoA_2025-09-08 10_21_19.791,1235,PI533932,2.0,,2.0,,
Nebraska2025,1235_LeafPhotoA_2025-09-08 10_21_51.952,1235,PI533932,2.5,,2.5,,
Nebraska2025,1236_LeafPhotoA_2025-09-08 10_22_21.849,1236,PI534030,1.0,,1.0,,
Nebraska2025,1236_LeafPhotoA_2025-09-08 10_22_36.343,1236,PI534030,1.5,,1.5,Watery lesions bordered by veins are usually caused by bacteria,
Nebraska2025,1236_LeafPhotoA_2025-09-08 10_23_03.516,1236,PI534030,1.5,1.5,1.5,,
Nebraska2025,1237_LeafPhotoA_2025-09-08 10_23_55.466,1237,PI656015,2.0,,2.0,,
Nebraska2025,1237_LeafPhotoA_2025-09-08 10_24_10.516,1237,PI656015,2.0,,2.0,,
Nebraska2025,1237_LeafPhotoA_2025-09-08 10_24_26.726,1237,PI656015,2.5,,2.5,,
Nebraska2025,1238_LeafPhotoA_2025-09-08 10_25_06.118,1238,PI534014,1.0,,1.0,,
Nebraska2025,1238_LeafPhotoA_2025-09-08 10_25_18.210,1238,PI534014,1.5,,1.5,,
Nebraska2025,1238_LeafPhotoA_2025-09-08 10_25_39.811,1238,PI534014,1.5,,1.5,,
Nebraska2025,1240_LeafPhotoA_2025-09-08 10_28_09.778,1240,PI576363,2.0,,2.0,,
Nebraska2025,1240_LeafPhotoA_2025-09-08 10_28_24.122,1240,PI576363,1.5,1.5,1.5,,
Nebraska2025,1240_LeafPhotoA_2025-09-08 10_28_39.382,1240,PI576363,2.0,,2.0,,
Nebraska2025,1241_LeafPhotoA_2025-09-08 10_29_08.880,1241,PI533975,2.0,,2.0,,
Nebraska2025,1241_LeafPhotoA_2025-09-08 10_29_30.893,1241,PI533975,2.5,,2.5,,
Nebraska2025,1241_LeafPhotoA_2025-09-08 10_29_46.119,1241,PI533975,2.0,,2.0,,
Nebraska2025,1242_LeafPhotoA_2025-09-08 10_30_10.377,1242,SC0631,2.0,,2.0,,
Nebraska2025,1242_LeafPhotoA_2025-09-08 10_30_23.957,1242,SC0631,2.5,,2.5,,
Nebraska2025,1242_LeafPhotoA_2025-09-08 10_30_41.702,1242,SC0631,2.5,,2.5,,
Nebraska2025,1243_LeafPhotoA_2025-09-08 10_31_08.763,1243,,2.5,,2.5,,
Nebraska2025,1243_LeafPhotoA_2025-09-08 10_31_30.623,1243,,2.0,,2.0,,
Nebraska2025,1243_LeafPhotoA_2025-09-08 10_31_49.546,1243,,2.0,,2.0,,
Nebraska2025,1244_LeafPhotoA_2025-09-08 10_32_46.273,1244,PI656102,2.5,,2.5,,
Nebraska2025,1244_LeafPhotoA_2025-09-08 10_33_08.371,1244,PI656102,3.0,,3.0,,
Nebraska2025,1244_LeafPhotoA_2025-09-08 10_33_45.219,1244,PI656102,2.5,,2.5,,
Nebraska2025,1245_LeafPhotoA_2025-09-08 10_34_10.196,1245,PI534127,2.5,,2.5,,
Nebraska2025,1245_LeafPhotoA_2025-09-08 10_34_23.868,1245,PI534127,2.0,,2.0,,
Nebraska2025,1245_LeafPhotoA_2025-09-08 10_34_46.122,1245,PI534127,2.5,,2.5,,
Nebraska2025,1246_LeafPhotoA_2025-09-08 10_36_39.620,1246,PI533956,1.5,,1.5,The darker lesions could be caused by Bipolaris sorghicola,
Nebraska2025,1246_LeafPhotoA_2025-09-08 10_36_51.001,1246,PI533956,2.0,2.0,2.0,,
Nebraska2025,1246_LeafPhotoA_2025-09-08 10_38_21.989,1246,PI533956,3.0,,3.0,,
Nebraska2025,1247_LeafPhotoA_2025-09-08 10_38_45.722,1247,PI533856,1.5,2.5,2.0,,
Nebraska2025,1247_LeafPhotoA_2025-09-08 10_39_05.531,1247,PI533856,3.0,,3.0,,
Nebraska2025,1247_LeafPhotoA_2025-09-08 10_39_31.896,1247,PI533856,2.5,,2.5,,
Nebraska2025,1248_LeafPhotoA_2025-09-08 10_40_18.525,1248,PI534055,2.5,,2.5,,
Nebraska2025,1248_LeafPhotoA_2025-09-08 10_40_49.391,1248,PI534055,1.0,,1.0,,
Nebraska2025,1248_LeafPhotoA_2025-09-08 10_41_11.816,1248,PI534055,2.0,,2.0,,
Nebraska2025,1249_LeafPhotoA_2025-09-08 10_41_51.533,1249,PI595727,1.0,1.0,1.0,,
Nebraska2025,1249_LeafPhotoA_2025-09-08 10_42_08.665,1249,PI595727,2.0,,2.0,,
Nebraska2025,1249_LeafPhotoA_2025-09-08 10_42_35.463,1249,PI595727,2.5,,2.5,,
Nebraska2025,1250_LeafPhotoA_2025-09-08 10_43_08.313,1250,,2.0,,2.0,,
Nebraska2025,1250_LeafPhotoA_2025-09-08 10_43_21.050,1250,,1.5,,1.5,,
Nebraska2025,1250_LeafPhotoA_2025-09-08 10_43_41.179,1250,,1.5,1.0,1.25,,
Nebraska2025,1901_LeafPhotoA_2025-09-09 16_10_27.238,1901,PI534109,3.0,,3.0,,
Nebraska2025,1901_LeafPhotoA_2025-09-09 16_10_49.390,1901,PI534109,1.5,,1.5,,
Nebraska2025,1901_LeafPhotoA_2025-09-09 16_11_13.192,1901,PI534109,1.0,,1.0,,
Nebraska2025,1902_LeafPhotoA_2025-09-09 16_11_37.456,1902,PI576408,2.5,,2.5,,
Nebraska2025,1902_LeafPhotoA_2025-09-09 16_11_53.139,1902,PI576408,2.5,,2.5,,
Nebraska2025,1902_LeafPhotoA_2025-09-09 16_12_26.161,1902,PI576408,3.5,,3.5,,
Nebraska2025,1902_LeafPhotoA_2025-09-09 16_12_29.314,1902,PI576408,3.0,,3.0,,
Nebraska2025,1903_LeafPhotoA_2025-09-09 14_22_36.498,1903,PI576403,2.5,2.5,2.5,,
Nebraska2025,1903_LeafPhotoA_2025-09-09 14_22_56.999,1903,PI576403,3.0,,3.0,,
Nebraska2025,1903_LeafPhotoA_2025-09-09 14_23_28.474,1903,PI576403,2.5,,2.5,,
Nebraska2025,1904_LeafPhotoA_2025-09-09 14_24_12.701,1904,PI152651,2.5,,2.5,,
Nebraska2025,1904_LeafPhotoA_2025-09-09 14_38_44.936,1904,PI152651,2.0,1.5,1.75,,
Nebraska2025,1904_LeafPhotoA_2025-09-09 14_39_09.961,1904,PI152651,4.5,5.0,4.75,,
Nebraska2025,1905_LeafPhotoA_2025-09-09 14_39_48.802,1905,,1.5,1.5,1.5,,
Nebraska2025,1905_LeafPhotoA_2025-09-09 14_40_25.244,1905,,2.0,,2.0,,
Nebraska2025,1905_LeafPhotoA_2025-09-09 14_40_50.447,1905,,2.0,,2.0,,
Nebraska2025,1906_LeafPhotoA_2025-09-09 14_41_25.913,1906,PI533881,3.0,,3.0,,
Nebraska2025,1906_LeafPhotoA_2025-09-09 14_41_43.234,1906,PI533881,2.0,,2.0,,
Nebraska2025,1906_LeafPhotoA_2025-09-09 14_41_58.555,1906,PI533881,2.0,,2.0,,
Nebraska2025,1907_LeafPhotoA_2025-09-09 14_42_36.286,1907,PI533921,1.5,1.5,1.5,,
Nebraska2025,1907_LeafPhotoA_2025-09-09 14_43_01.063,1907,PI533921,2.5,,2.5,,
Nebraska2025,1907_LeafPhotoA_2025-09-09 14_43_36.922,1907,PI533921,2.5,,2.5,,
Nebraska2025,1908_LeafPhotoA_2025-09-09 14_44_09.948,1908,PI655994,1.5,,1.5,,
Nebraska2025,1908_LeafPhotoA_2025-09-09 14_44_38.996,1908,PI655994,2.5,2.5,2.5,,
Nebraska2025,1909_LeafPhotoA_2025-09-09 14_45_25.178,1909,PI533923,3.0,,3.0,,
Nebraska2025,1909_LeafPhotoA_2025-09-09 14_45_40.811,1909,PI533923,2.0,,2.0,,
Nebraska2025,1909_LeafPhotoA_2025-09-09 14_45_58.330,1909,PI533923,3.0,,3.0,,
Nebraska2025,1910_LeafPhotoA_2025-09-09 14_46_26.493,1910,PI576382,3.0,,3.0,,
Nebraska2025,1910_LeafPhotoA_2025-09-09 14_46_57.588,1910,PI576382,3.0,,3.0,,
Nebraska2025,1910_LeafPhotoA_2025-09-09 14_47_37.655,1910,PI576382,3.0,,3.0,Elongated lesions are usually caused by Exserohilum turcicum,
Nebraska2025,1910_LeafPhotoA_2025-09-09 14_47_40.472,1910,PI576382,3.0,,3.0,,
Nebraska2025,1911_LeafPhotoA_2025-09-09 14_48_07.325,1911,PI656007,2.0,,2.0,,
Nebraska2025,1911_LeafPhotoA_2025-09-09 14_48_38.419,1911,PI656007,2.0,3.0,2.5,,
Nebraska2025,1911_LeafPhotoA_2025-09-09 14_48_54.342,1911,PI656007,2.0,,2.0,,
Nebraska2025,1912_LeafPhotoA_2025-09-09 14_49_29.538,1912,PI641836,2.5,,2.5,,
Nebraska2025,1912_LeafPhotoA_2025-09-09 14_50_10.025,1912,PI641836,1.0,,1.0,mechanical damage,
Nebraska2025,1912_LeafPhotoA_2025-09-09 14_50_46.611,1912,PI641836,3.0,,3.0,,
Nebraska2025,1913_LeafPhotoA_2025-09-09 14_51_37.293,1913,PI595722,3.0,,3.0,,
Nebraska2025,1913_LeafPhotoA_2025-09-09 14_51_54.605,1913,PI595722,2.0,,2.0,,
Nebraska2025,1913_LeafPhotoA_2025-09-09 14_52_15.644,1913,PI595722,2.0,1.0,1.5,,Watery lesions bounded by the veins suggest a bacterial disease
Nebraska2025,1914_LeafPhotoA_2025-09-09 14_52_44.868,1914,PI576342,2.0,,2.0,,
Nebraska2025,1914_LeafPhotoA_2025-09-09 14_53_03.088,1914,PI576342,3.5,,3.5,,
Nebraska2025,1914_LeafPhotoA_2025-09-09 14_53_39.833,1914,PI576342,3.5,,3.5,,
Nebraska2025,1915_LeafPhotoA_2025-09-09 14_54_12.298,1915,SC0448,2.0,,2.0,,
Nebraska2025,1915_LeafPhotoA_2025-09-09 14_54_35.908,1915,SC0448,2.5,,2.5,,
Nebraska2025,1915_LeafPhotoA_2025-09-09 14_54_52.435,1915,SC0448,2.0,1.5,1.75,,Exserohilum turcicum
Nebraska2025,1916_LeafPhotoA_2025-09-09 14_55_12.000,1916,PI533989,2.5,,2.5,,
Nebraska2025,1916_LeafPhotoA_2025-09-09 14_55_34.742,1916,PI533989,2.5,2.0,2.25,,
Nebraska2025,1916_LeafPhotoA_2025-09-09 14_56_01.187,1916,PI533989,2.0,1.5,1.75,,
Nebraska2025,1917_LeafPhotoA_2025-09-09 14_56_25.122,1917,PI533898,2.0,1.5,1.75,,
Nebraska2025,1917_LeafPhotoA_2025-09-09 14_56_36.953,1917,PI533898,3.0,,3.0,,
Nebraska2025,1917_LeafPhotoA_2025-09-09 14_56_50.086,1917,PI533898,1.5,,1.5,,
Nebraska2025,1918_LeafPhotoA_2025-09-09 15_02_47.803,1918,PI595730,3.5,,3.5,,
Nebraska2025,1918_LeafPhotoA_2025-09-09 15_02_50.307,1918,PI595730,3.5,,3.5,,
Nebraska2025,1918_LeafPhotoA_2025-09-09 15_03_06.740,1918,PI595730,2.5,,2.5,,
Nebraska2025,1918_LeafPhotoA_2025-09-09 15_03_24.456,1918,PI595730,3.0,,3.0,,
Nebraska2025,1919_LeafPhotoA_2025-09-09 15_04_25.452,1919,PI595737,1.5,,1.5,Watery lesions bordered by veins are usually caused by bacteria,
Nebraska2025,1919_LeafPhotoA_2025-09-09 15_04_40.684,1919,PI595737,1.5,,1.5,,
Nebraska2025,1919_LeafPhotoA_2025-09-09 15_04_56.294,1919,PI595737,2.5,,2.5,,
Nebraska2025,1920_LeafPhotoA_2025-09-09 15_05_19.608,1920,PI534047,2.5,,2.5,,
Nebraska2025,1920_LeafPhotoA_2025-09-09 15_08_42.209,1920,PI534047,3.5,,3.5,,
Nebraska2025,1920_LeafPhotoA_2025-09-09 15_08_57.013,1920,PI534047,2.5,,2.5,,
Nebraska2025,1921_LeafPhotoA_2025-09-09 15_12_20.904,1921,PI533884,3.0,,3.0,,
Nebraska2025,1921_LeafPhotoA_2025-09-09 15_12_34.296,1921,PI533884,3.5,,3.5,,
Nebraska2025,1921_LeafPhotoA_2025-09-09 15_12_36.682,1921,PI533884,3.5,,3.5,,
Nebraska2025,1921_LeafPhotoA_2025-09-09 15_12_57.015,1921,PI533884,2.0,3.0,2.5,,
Nebraska2025,1922_LeafPhotoA_2025-09-09 15_13_34.215,1922,,1.0,,1.0,,
Nebraska2025,1922_LeafPhotoA_2025-09-09 15_13_52.698,1922,,2.0,,2.0,,
Nebraska2025,1922_LeafPhotoA_2025-09-09 15_14_07.247,1922,,2.5,,2.5,,
Nebraska2025,1923_LeafPhotoA_2025-09-09 15_14_33.032,1923,PI533919,2.5,,2.5,,
Nebraska2025,1923_LeafPhotoA_2025-09-09 15_14_50.867,1923,PI533919,2.5,,2.5,,
Nebraska2025,1923_LeafPhotoA_2025-09-09 15_15_28.540,1923,PI533919,2.5,,2.5,,
Nebraska2025,1924_LeafPhotoA_2025-09-09 15_15_59.399,1924,PI656032,1.0,,1.0,,
Nebraska2025,1924_LeafPhotoA_2025-09-09 15_16_22.656,1924,PI656032,1.0,,1.0,like hypersensitivity reactions,
Nebraska2025,1924_LeafPhotoA_2025-09-09 15_16_54.101,1924,PI656032,2.5,,2.5,,
Nebraska2025,1925_LeafPhotoA_2025-09-09 15_17_26.468,1925,PI534105,2.0,,2.0,Elongated lesions are usually caused by Exserohilum turcicum,
Nebraska2025,1925_LeafPhotoA_2025-09-09 15_17_55.387,1925,PI534105,2.0,,2.0,,
Nebraska2025,1925_LeafPhotoA_2025-09-09 15_18_12.546,1925,PI534105,2.5,,2.5,,
Nebraska2025,1926_LeafPhotoA_2025-09-09 15_18_37.580,1926,PI533761,3.0,,3.0,,
Nebraska2025,1926_LeafPhotoA_2025-09-09 15_19_00.799,1926,PI533761,1.5,1.5,1.5,,
Nebraska2025,1926_LeafPhotoA_2025-09-09 15_19_28.315,1926,PI533761,1.5,,1.5,,
Nebraska2025,1927_LeafPhotoA_2025-09-09 15_20_02.342,1927,PI576340,2.0,,2.0,,
Nebraska2025,1927_LeafPhotoA_2025-09-09 15_20_31.560,1927,PI576340,3.0,,3.0,,
Nebraska2025,1927_LeafPhotoA_2025-09-09 15_21_25.320,1927,PI576340,1.5,,1.5,,
Nebraska2025,1928_LeafPhotoA_2025-09-09 15_22_03.004,1928,SC1021,2.0,,2.0,,
Nebraska2025,1928_LeafPhotoA_2025-09-09 15_22_22.102,1928,SC1021,2.0,,2.0,,
Nebraska2025,1928_LeafPhotoA_2025-09-09 15_22_56.693,1928,SC1021,2.5,,2.5,,
Nebraska2025,1929_LeafPhotoA_2025-09-09 15_23_35.192,1929,PI534058,2.5,,2.5,,
Nebraska2025,1929_LeafPhotoA_2025-09-09 15_23_57.788,1929,PI534058,2.0,,2.0,,
Nebraska2025,1929_LeafPhotoA_2025-09-09 15_25_04.796,1929,PI534058,3.0,,3.0,,
Nebraska2025,1930_LeafPhotoA_2025-09-09 15_25_32.792,1930,PI595699,2.5,,2.5,,
Nebraska2025,1930_LeafPhotoA_2025-09-09 15_26_04.882,1930,PI595699,3.5,,3.5,,
Nebraska2025,1930_LeafPhotoA_2025-09-09 15_26_30.073,1930,PI595699,2.0,,2.0,,
Nebraska2025,1931_LeafPhotoA_2025-09-09 15_27_04.726,1931,PI533973,1.5,1.0,1.25,,
Nebraska2025,1931_LeafPhotoA_2025-09-09 15_27_25.958,1931,PI533973,2.5,,2.5,,
Nebraska2025,1931_LeafPhotoA_2025-09-09 15_27_42.200,1931,PI533973,1.5,,1.5,,
Nebraska2025,1931_LeafPhotoA_2025-09-09 15_27_44.124,1931,PI533973,2.5,,2.5,,
Nebraska2025,1933_LeafPhotoA_2025-09-09 15_28_34.369,1933,PI534051,4.0,,4.0,,
Nebraska2025,1933_LeafPhotoA_2025-09-09 15_28_49.123,1933,PI534051,2.0,2.5,2.25,,
Nebraska2025,1933_LeafPhotoA_2025-09-09 15_29_34.937,1933,PI534051,3.5,,3.5,,
Nebraska2025,1934_LeafPhotoA_2025-09-09 15_30_06.443,1934,PI595706,2.5,,2.5,Moist lesions bounded by the veins are usually caused by bacteria,
Nebraska2025,1934_LeafPhotoA_2025-09-09 15_31_03.956,1934,PI595706,3.0,,3.0,,
Nebraska2025,1934_LeafPhotoA_2025-09-09 15_31_35.690,1934,PI595706,3.0,,3.0,,
Nebraska2025,1935_LeafPhotoA_2025-09-09 15_31_58.041,1935,PI533955,2.5,2.5,2.5,,
Nebraska2025,1935_LeafPhotoA_2025-09-09 15_32_17.546,1935,PI533955,2.0,,2.0,,
Nebraska2025,1935_LeafPhotoA_2025-09-09 15_32_38.713,1935,PI533955,2.5,,2.5,,
Nebraska2025,1936_LeafPhotoA_2025-09-09 15_33_16.584,1936,PI576348,3.5,,3.5,,
Nebraska2025,1936_LeafPhotoA_2025-09-09 15_33_42.951,1936,PI576348,2.5,,2.5,,
Nebraska2025,1936_LeafPhotoA_2025-09-09 15_33_57.754,1936,PI576348,2.5,,2.5,,
